,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Souillac,92,FR,1541097000,93,45.6,-0.6,51.8,6.93
1,Puerto Ayora,75,EC,1541095200,65,-0.74,-90.35,77.0,6.93
2,Ngunguru,0,NZ,1541099127,100,-35.62,174.5,57.19,20.74
3,Ribeira Grande,20,PT,1541097000,83,38.52,-28.7,69.8,16.11
4,Mahebourg,20,MU,1541095200,83,-20.41,57.7,75.2,5.82
5,Comodoro Rivadavia,40,AR,1541095200,48,-45.87,-67.48,60.8,20.8
6,Ushuaia,0,AR,1541095200,24,-54.81,-68.31,59.0,19.46
7,Mataura,44,NZ,1541099134,90,-46.19,168.86,36.13,4.63
8,Patnanungan,44,PH,1541099135,99,14.78,122.18,83.65,11.68
9,Fort Smith,90,US,1541098500,71,35.39,-94.42,50.0,10.29
10,Portland,90,US,1541098380,77,45.52,-122.67,64.94,8.05
11,Cape Town,0,ZA,1541095200,58,-33.93,18.42,59.0,19.46
12,Palmer,1,US,1541094960,91,61.6,-149.11,19.04,2.39
13,Dalbandin,0,PK,1541099141,81,28.9,64.41,50.26,5.64
14,Lenine,0,UA,1541099008,98,45.3,35.78,58.9,26.78
15,Kodiak,1,US,1541098380,39,39.95,-94.76,60.08,4.41
16,Mecca,76,SA,1541099091,88,21.43,39.83,69.16,3.96
17,Berlevag,75,NO,1541094600,80,70.86,29.09,39.2,8.05
18,Provideniya,80,RU,1541099148,100,64.42,-173.23,39.33,8.32
19,Nikolskoye,75,RU,1541097000,100,59.7,30.79,42.8,2.24
20,Ketchikan,90,US,1541094960,88,55.34,-131.65,44.06,5.82
21,Upernavik,32,GL,1541099151,100,72.79,-56.15,17.32,3.85
22,Yellowknife,90,CA,1541095200,79,62.45,-114.38,24.8,5.82
23,Harper,1,US,1541096100,37,30.3,-99.24,61.34,14.99
24,Vostok,0,RU,1541099155,64,46.45,135.83,14.31,1.28
25,Bredasdorp,0,ZA,1541095200,58,-34.53,20.04,55.4,5.82
26,Guerrero Negro,0,MX,1541099158,45,27.97,-114.04,76.9,4.74
27,Airai,0,TL,1541099159,90,-8.93,125.41,64.89,1.83
28,Lithakia,0,GR,1541096400,88,37.72,20.83,68.0,3.74
29,Alto Araguaia,36,BR,1541099162,100,-17.32,-53.22,76.0,7.43
30,Missoula,90,US,1541098380,88,46.87,-114.0,42.08,2.84
31,Hays,1,US,1541094960,30,38.88,-99.33,59.0,6.93
32,Madang,44,PG,1541099165,100,-5.21,145.81,76.72,3.85
33,Saint-Denis,90,FR,1541097000,87,48.94,2.36,51.8,9.17
34,Valdivia,90,CL,1541095200,76,-39.81,-73.25,53.6,4.7
35,Butaritari,88,KI,1541099239,100,3.07,172.79,84.1,8.99
36,Pacific Grove,1,US,1541097300,37,36.62,-121.92,75.92,3.4
37,Kaduqli,64,SD,1541099173,72,11.01,29.72,79.56,3.96
38,Port Moresby,0,PG,1541099174,94,-9.47,147.16,80.68,17.49
39,Rikitea,92,PF,1541099175,100,-23.12,-134.97,70.11,33.26
40,Barrow,64,AR,1541099177,60,-38.31,-60.23,57.28,4.63
41,Lavrentiya,68,RU,1541099181,97,65.58,-170.99,39.46,10.45
42,Buri,80,BR,1541099182,90,-23.8,-48.6,72.49,5.3
43,Punta Arenas,75,CL,1541095200,32,-53.16,-70.91,53.6,13.87
44,Albany,90,US,1541098260,89,42.65,-73.75,53.6,5.82
45,Busselton,88,AU,1541099186,100,-33.64,115.35,59.08,12.24
46,Cherskiy,76,RU,1541099188,80,68.75,161.3,10.44,3.4
47,Bonavista,44,CA,1541099189,100,48.65,-53.11,40.59,10.78
48,Abu Kamal,0,SY,1541099190,72,34.45,40.92,47.79,2.39
49,New Norfolk,75,AU,1541097000,77,-42.78,147.06,64.4,14.99
50,Hilo,20,US,1541094960,81,19.71,-155.08,75.92,4.7
51,Hobart,75,AU,1541097000,77,-42.88,147.33,64.4,14.99
52,Carnarvon,0,ZA,1541099195,18,-30.97,22.13,53.32,12.01
53,Cockburn Town,68,TC,1541098924,100,21.46,-71.14,80.23,18.72
54,Narsaq,5,GL,1541098200,48,60.91,-46.05,17.6,2.24
55,Ponta do Sol,24,BR,1541099199,77,-20.63,-46.0,83.02,6.08
56,Mayo,90,CA,1541095200,85,63.59,-135.9,10.4,2.24
57,Hit,0,IQ,1541099202,45,33.64,42.83,62.41,9.44
58,Freeport,75,BS,1541095200,62,26.54,-78.7,86.0,6.93
59,Lebu,0,ET,1541099204,61,8.96,38.73,52.38,5.75
60,Bethel,1,US,1541094780,100,60.79,-161.76,21.92,6.93
61,Cabo San Lucas,40,MX,1541094420,57,22.89,-109.91,82.4,8.1
62,Vila Velha,0,BR,1541098800,66,-3.71,-38.6,84.2,13.87
63,Zyryanka,68,RU,1541099209,86,65.73,150.89,12.33,4.07
64,Richards Bay,92,ZA,1541099211,100,-28.77,32.06,62.86,13.13
65,Port Alfred,80,ZA,1541098932,98,-33.59,26.89,59.89,11.34
66,Jamestown,36,AU,1541099210,84,-33.21,138.6,64.53,3.4
67,Tavricheskoye,75,RU,1541097000,85,54.59,73.64,23.0,8.95
